Time,Type,Amount,Symbol
2026-04-12 17:00:00,Funding fee,-1.10693211 USDT,ENJUSDT
2026-04-12 16:00:00,Funding fee,-0.75805572 USDT,ENJUSDT
2026-04-12 15:00:00,Funding fee,-0.57143127 USDT,ENJUSDT
2026-04-12 14:00:00,Funding fee,-0.32637276 USDT,ENJUSDT
2026-04-12 13:00:00,Funding fee,-0.31715024 USDT,ENJUSDT
2026-04-12 12:00:00,Funding fee,-0.35964998 USDT,ENJUSDT
2026-04-12 11:00:00,Funding fee,-0.27057619 USDT,ENJUSDT
2026-04-12 10:00:00,Funding fee,-0.40951370 USDT,ENJUSDT
2026-04-12 09:00:00,Funding fee,-0.48108055 USDT,ENJUSDT
2026-04-12 08:00:00,Funding fee,-0.53661783 USDT,ENJUSDT
2026-04-12 07:00:00,Funding fee,-0.49654799 USDT,ENJUSDT
2026-04-12 06:00:00,Funding fee,-0.43055640 USDT,ENJUSDT
2026-04-12 05:00:00,Funding fee,-0.37325277 USDT,ENJUSDT
2026-04-12 04:00:00,Funding fee,-0.54526780 USDT,ENJUSDT
2026-04-12 03:00:00,Funding fee,-0.72159122 USDT,ENJUSDT
2026-04-12 02:00:00,Funding fee,-0.49251942 USDT,ENJUSDT
2026-04-12 01:00:00,Funding fee,-0.38037947 USDT,ENJUSDT
2026-04-12 00:00:00,Funding fee,-0.32488234 USDT,ENJUSDT
2026-04-11 23:00:00,Funding fee,-0.42330642 USDT,ENJUSDT
2026-04-11 22:00:00,Funding fee,-1.41548154 USDT,ENJUSDT
2026-04-11 21:00:00,Funding fee,-0.30373427 USDT,ENJUSDT
2026-04-11 20:00:00,Funding fee,-0.17300850 USDT,ENJUSDT
2026-04-11 19:00:00,Funding fee,-0.23351187 USDT,ENJUSDT
2026-04-11 18:00:00,Funding fee,-0.30090969 USDT,ENJUSDT
2026-04-11 17:00:00,Funding fee,-0.41945443 USDT,ENJUSDT
2026-04-11 16:00:00,Funding fee,-0.13170545 USDT,ENJUSDT
2026-04-11 15:00:00,Funding fee,-0.17423031 USDT,ENJUSDT
2026-04-11 14:00:00,Funding fee,-0.38520435 USDT,ENJUSDT
2026-04-11 13:00:00,Funding fee,-0.31635263 USDT,ENJUSDT
2026-04-11 12:00:00,Funding fee,-0.08501130 USDT,ENJUSDT
2026-04-11 11:00:00,Funding fee,-0.08928910 USDT,ENJUSDT
2026-04-11 10:00:00,Funding fee,-0.13164237 USDT,ENJUSDT
2026-04-11 09:00:00,Funding fee,-0.12693538 USDT,ENJUSDT
2026-04-11 08:00:00,Funding fee,-0.31239966 USDT,ENJUSDT
2026-04-11 07:00:00,Funding fee,-0.08902089 USDT,ENJUSDT
2026-04-11 06:00:00,Funding fee,-0.09169155 USDT,ENJUSDT
2026-04-11 05:00:00,Funding fee,-0.11448142 USDT,ENJUSDT
2026-04-11 04:00:00,Funding fee,-0.16592866 USDT,ENJUSDT
2026-04-11 03:00:00,Funding fee,-0.18940482 USDT,ENJUSDT
2026-04-11 02:00:00,Funding fee,-0.28548596 USDT,ENJUSDT
2026-04-11 01:00:00,Funding fee,-0.11209522 USDT,ENJUSDT
2026-04-11 00:00:00,Funding fee,-0.16617240 USDT,ENJUSDT
2026-04-10 23:00:00,Funding fee,-0.27165545 USDT,ENJUSDT
2026-04-10 22:00:00,Funding fee,-0.24363165 USDT,ENJUSDT
2026-04-10 21:00:00,Funding fee,-0.31206941 USDT,ENJUSDT
2026-04-10 20:00:00,Funding fee,-0.24760837 USDT,ENJUSDT
2026-04-10 19:00:00,Funding fee,-0.17699851 USDT,ENJUSDT
2026-04-10 18:00:00,Funding fee,-0.39541780 USDT,ENJUSDT
2026-04-10 17:00:00,Funding fee,-0.49198531 USDT,ENJUSDT
2026-04-10 16:00:00,Funding fee,-0.54051609 USDT,ENJUSDT
2026-04-10 15:00:00,Funding fee,-0.16076628 USDT,ENJUSDT
2026-04-10 14:00:00,Funding fee,-0.21753215 USDT,ENJUSDT
2026-04-10 13:00:00,Funding fee,-0.30477714 USDT,ENJUSDT
2026-04-10 12:00:00,Funding fee,-0.48226306 USDT,ENJUSDT
2026-04-10 11:00:00,Funding fee,-0.09722785 USDT,REDUSDT
2026-04-10 11:00:00,Funding fee,-0.67076723 USDT,ENJUSDT
2026-04-10 10:00:00,Funding fee,-0.11741557 USDT,REDUSDT
2026-04-10 10:00:00,Funding fee,-0.75046654 USDT,ENJUSDT
2026-04-10 09:00:00,Funding fee,-0.11726260 USDT,REDUSDT
2026-04-10 09:00:00,Funding fee,-0.55808047 USDT,ENJUSDT
2026-04-10 08:00:00,Funding fee,-0.24785146 USDT,REDUSDT
2026-04-10 08:00:00,Funding fee,-0.69630390 USDT,ENJUSDT
2026-04-10 07:00:00,Funding fee,-0.23096798 USDT,REDUSDT
2026-04-10 07:00:00,Funding fee,-0.93258647 USDT,ENJUSDT
2026-04-10 06:00:00,Funding fee,-0.21127722 USDT,REDUSDT
2026-04-10 06:00:00,Funding fee,-1.34380920 USDT,ENJUSDT
2026-04-10 05:00:00,Funding fee,-0.29319000 USDT,REDUSDT
2026-04-10 05:00:00,Funding fee,-0.96794199 USDT,ENJUSDT
2026-04-10 04:00:00,Funding fee,-0.24944815 USDT,REDUSDT
2026-04-10 04:00:00,Funding fee,-1.18997573 USDT,ENJUSDT
2026-04-10 03:00:00,Funding fee,-0.23426110 USDT,REDUSDT
2026-04-10 03:00:00,Funding fee,-0.80396841 USDT,ENJUSDT
2026-04-10 02:00:00,Funding fee,-0.22314131 USDT,REDUSDT
2026-04-10 02:00:00,Funding fee,-0.99694772 USDT,ENJUSDT
2026-04-10 01:00:00,Funding fee,-0.17403108 USDT,REDUSDT
2026-04-10 01:00:00,Funding fee,-1.00636516 USDT,ENJUSDT
2026-04-10 00:00:00,Funding fee,-0.17902780 USDT,REDUSDT
2026-04-10 00:00:00,Funding fee,-1.50232376 USDT,ENJUSDT
2026-04-09 23:00:00,Funding fee,-0.25183756 USDT,REDUSDT
2026-04-09 23:00:00,Funding fee,-1.76488597 USDT,ENJUSDT
2026-04-09 22:00:00,Funding fee,-0.27705216 USDT,REDUSDT
2026-04-09 22:00:00,Funding fee,-1.65137791 USDT,ENJUSDT
2026-04-09 21:00:00,Funding fee,-0.25684215 USDT,REDUSDT
2026-04-09 21:00:00,Funding fee,-1.98835134 USDT,ENJUSDT
2026-04-09 20:00:00,Funding fee,-0.35465729 USDT,REDUSDT
2026-04-09 20:00:00,Funding fee,-6.23312852 USDT,ENJUSDT
2026-04-09 19:00:00,Funding fee,-0.48635257 USDT,REDUSDT
2026-04-09 19:00:00,Funding fee,-5.51524017 USDT,ENJUSDT
2026-04-09 18:00:00,Funding fee,-0.49369373 USDT,REDUSDT
2026-04-09 18:00:00,Funding fee,-4.96017227 USDT,ENJUSDT
2026-04-09 17:00:00,Funding fee,-0.34861084 USDT,REDUSDT
2026-04-09 17:00:00,Funding fee,-2.59629779 USDT,ENJUSDT
2026-04-09 16:00:00,Funding fee,-0.34387562 USDT,REDUSDT
2026-04-09 16:00:00,Funding fee,-1.11237892 USDT,ENJUSDT
